file,loc,language,change_count,churn_added,churn_deleted,churn_total,authors_count,author_concentration,last_modified_date,max_function_cc,avg_function_cc,max_function_loc,duplication_percent,code_health_score,hotspot_score,is_hotspot,coupling_degree,developer_congestion_flag,former_contributor_risk_flag
.editorconfig,13,<none>,1,5,0,5,1,1.0,2025-12-10T12:56:53-06:00,0,0.0,0,0.0,10.0,0.0,False,0,False,False
.github/copilot-instructions.md,82,.md,4,112,85,197,1,1.0,2026-01-10T15:55:06-06:00,0,0.0,0,0.0,10.0,0.3995,False,0,False,False
.gitignore,11,<none>,1,1,0,1,1,1.0,2024-10-07T09:32:15-05:00,0,0.0,0,0.0,10.0,0.0,False,0,False,False
AGENTS.md,1,.md,10,508,507,1015,1,1.0,2025-10-08T16:23:37-05:00,0,0.0,0,0.0,9.8,0.2158,True,11,False,False
LICENSE,17,<none>,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
README.md,238,.md,16,186,229,415,1,1.0,2025-12-23T08:35:23-06:00,0,0.0,0,5.88,9.42,0.6798,True,119,False,False
docs/CHANGELOG.md,5,.md,1,6,0,6,1,1.0,2026-01-14T15:09:02-06:00,0,0.0,0,0.0,10.0,0.0,False,0,False,False
docs/agents/tasks/null-warnings-continue-prompt.md,7,.md,1,9,0,9,1,1.0,2025-12-10T11:47:30-06:00,0,0.0,0,0.0,10.0,0.0,False,0,False,False
docs/agents/tasks/summary-2025-05-07-001.md,11,.md,1,15,0,15,1,1.0,2025-12-08T09:56:22-06:00,0,0.0,0,0.0,10.0,0.0,False,0,False,False
docs/agents/tasks/summary-2025-12-08-001.md,10,.md,1,14,0,14,1,1.0,2025-12-08T09:46:21-06:00,0,0.0,0,0.0,10.0,0.0,False,0,False,False
docs/agents/tasks/summary-2025-12-08-002.md,20,.md,1,24,0,24,1,1.0,2025-12-10T11:47:30-06:00,0,0.0,0,0.0,10.0,0.0,False,0,False,False
docs/agents/tasks/summary-2025-12-10-001.md,11,.md,1,15,0,15,1,1.0,2025-12-10T11:47:30-06:00,0,0.0,0,0.0,10.0,0.0,False,0,False,False
