rank,file,change_count,churn_total,loc,hotspot_score
1,osafw-app/App_Code/fw/FwDynamicController.cs,55,2153,1049,0.956
2,osafw-app/App_Code/fw/FW.cs,38,2406,1269,0.9149
3,osafw-app/App_Code/fw/FwController.cs,36,1249,1005,0.8918
4,osafw-app/App_Code/fw/Utils.cs,33,1687,1203,0.8901
5,osafw-app/App_Code/fw/DB.cs,28,2536,2021,0.8958
6,osafw-app/App_Code/fw/ParsePage.cs,27,1492,1133,0.8555
7,osafw-app/wwwroot/assets/css/site.css,27,3348,1023,0.8492
8,osafw-app/wwwroot/assets/js/fw.js,27,725,963,0.8455
9,osafw-app/App_Code/fw/FwVueController.cs,25,882,437,0.7843
10,osafw-app/App_Code/fw/FwModel.cs,24,1052,1034,0.8314
11,osafw-app/appsettings.json,24,73,126,0.6945
12,osafw-app/App_Code/fw/FormUtils.cs,22,530,523,0.7765
13,osafw-app/App_Code/models/Users.cs,20,662,607,0.7709
14,osafw-app/App_Data/template/admin/demosdynamic/config.json,20,1308,675,0.7772
15,osafw-app/App_Code/controllers/DevManage.cs,18,3345,471,0.7392
16,osafw-app/App_Code/fw/FwAdminController.cs,18,214,192,0.6835
17,osafw-app/App_Code/models/Att.cs,18,507,470,0.7391
18,osafw-app/App_Data/template/common/vue/store.js,18,1687,835,0.7728
19,osafw-app/App_Code/controllers/AdminDemos.cs,17,295,178,0.6703
20,osafw-app/App_Code/models/Dev/CodeGen.cs,17,2664,1256,0.7863
21,README.md,16,415,238,0.6798
22,osafw-app/App_Code/fw/FwReports.cs,16,332,247,0.682
23,osafw-tests/App_Code/fw/FormUtilsTests.cs,16,1016,454,0.7186
24,osafw-app/libman.json,15,414,262,0.6759
25,osafw-app/osafw-app.csproj,15,137,42,0.5553
26,osafw-tests/App_Code/fw/UtilsTests.cs,15,2103,1186,0.7618
27,osafw-app/App_Code/controllers/AdminAtt.cs,14,179,177,0.6416
28,osafw-app/App_Code/controllers/Test.cs,14,146,110,0.6117
29,osafw-app/App_Code/fw/FwConfig.cs,13,538,205,0.6393
30,osafw-app/App_Code/models/Dev/EntityBuilder.cs,13,1247,720,0.7105
31,osafw-app/App_Data/template/common/vue/form-one-control.html,13,1670,751,0.7128
32,osafw-tests/App_Code/fw/DBTests.cs,13,259,520,0.6928
33,osafw-app/App_Code/controllers/AdminUsers.cs,12,196,201,0.6259
34,osafw-app/App_Code/fw/ConvUtils.cs,12,540,368,0.6605
35,osafw-app/App_Code/models/Spages.cs,12,296,264,0.6417
36,osafw-app/App_Code/controllers/AdminActivityLogs.cs,11,65,69,0.5478
37,osafw-app/App_Code/controllers/DevConfigure.cs,11,102,128,0.5859
38,osafw-app/App_Data/template/common/vue/edit-header.html,11,476,126,0.585
39,osafw-app/App_Data/template/common/vue/view-header.html,11,510,132,0.5878
40,AGENTS.md,10,1015,1,0.2158
41,osafw-app/App_Code/controllers/MySettings.cs,10,39,67,0.5325
